date,count(date),average_price
2022-12-02,461469,27.87519020778182
2022-12-03,516608,26.809477089001525
2022-12-04,407362,28.858238765511622
2022-12-05,366641,28.236394047579733
2022-12-06,416873,31.84652963851494
2022-12-07,411244,32.134973762527906
2022-12-08,441856,33.0829081193778
2022-12-09,496940,30.675790276480235
2022-12-10,527883,29.825436640307895
2022-12-11,453985,29.856075927607208
2022-12-12,380799,28.40725038669355
2022-12-13,400422,30.350353976546838
2022-12-14,425557,31.463610703138766
2022-12-15,475103,35.15841962689263
2022-12-16,540552,31.866904719608968
2022-12-17,501381,30.20977113212367
2022-12-18,426391,31.576685882192834
2022-12-19,354590,29.214336247488678
2022-12-20,372227,29.433638747313246
2022-12-21,376776,30.086843960325936
2022-12-22,389402,29.182286531643935
2022-12-23,436072,27.539801982223626
2022-12-24,425433,24.99128711218133
2022-12-25,331072,25.598746737878567
2022-12-26,289452,26.131001651406027
2022-12-27,310306,26.486401777610048
2022-12-28,326119,26.360072090256153
2022-12-29,346498,26.46521927976712
2022-12-30,392529,26.732368920507955
2022-12-31,465495,26.198897216941027
2023-01-01,405934,33.023181083608286
2023-01-02,270772,26.53145805327816
2023-01-03,320915,25.934641945696328
2023-01-04,331348,25.908861740534356
2023-01-05,347615,25.572680724370205
2023-01-06,414484,24.899576654342315
2023-01-07,450291,24.326412697561242
2023-01-08,375106,25.158778718551247
2023-01-09,324901,25.702423815265423
2023-01-10,344558,25.259925934102366
2023-01-11,370086,25.437001777966714
2023-01-12,415321,27.23868995306523
2023-01-13,451631,26.282640651319504
2023-01-14,518131,24.552822780328988
2023-01-15,459651,24.66950486346502
2023-01-16,345865,25.011593685402737
2023-01-17,363408,26.152291391499357
2023-01-18,377389,25.97861845469658
2023-01-19,457806,26.55433705542642
2023-01-20,463209,24.956782964056988
2023-01-21,516447,24.078675391661374
2023-01-22,440421,24.69802870434711
2023-01-23,375039,24.2552683854242
2023-01-24,375362,24.642022980484086
2023-01-25,452984,25.540100687878756
2023-01-26,431649,26.03325141491823
2023-01-27,480551,24.631481757392965
2023-01-28,508652,23.993125791301257
2023-01-29,415337,24.71498065426006
2023-01-30,348057,25.274935283592843
2023-01-31,381414,25.526748100489783
2023-02-01,412597,26.154809099430327
2023-02-02,440493,26.889104208232432
2023-02-03,576801,25.198169472647244
2023-02-04,585628,23.880437940131962
2023-02-05,435049,25.477589053182403
2023-02-06,371172,26.06613472998974
2023-02-07,392571,26.08614332184303
2023-02-08,401432,26.629354809777617
2023-02-09,424369,27.594267418208986
2023-02-10,485739,26.617678279892328
2023-02-11,518487,25.67973405311388
2023-02-12,442798,26.305671208988638
2023-02-13,371397,26.287516538904725
2023-02-14,418198,26.780098302719963
2023-02-15,394255,26.950945961370305
2023-02-16,414191,28.11347837108949
2023-02-17,492002,26.77929278742805
2023-02-18,496134,25.621429009098314
2023-02-19,420409,25.934352214153385
2023-02-20,335877,26.79245866790527
2023-02-21,363913,26.464089631312074
2023-02-22,399777,26.263501402030016
2023-02-23,427295,26.976476298576078
2023-02-24,490382,26.03223556329543
2023-02-25,542311,25.539241376258527
2023-02-26,423953,26.38163678520989
2023-02-27,376317,26.569554923110367
2023-02-28,408107,26.061189933033887
2023-03-01,410194,27.63556071029798
2023-03-02,431126,28.150894819611935
2023-03-03,506905,26.645523835826253
2023-03-04,537094,26.42333731153133
2023-03-05,439035,27.16586358718561
2023-03-06,367421,26.941954787559375
2023-03-07,410028,27.009537226726778
2023-03-08,422612,28.050458174400905
2023-03-09,440366,28.615399871924872
2023-03-10,510720,27.936892465539135
2023-03-11,521084,25.972171108689324
2023-03-12,425113,27.349266289198585
2023-03-13,409926,27.166835648386414
2023-03-14,430977,26.282816670030627
2023-03-15,427554,28.74913337262825
2023-03-16,436989,29.787853012318227
2023-03-17,480464,28.576406369677265
2023-03-18,523388,27.62924556925136
2023-03-19,429351,28.9303031552277
2023-03-20,357215,28.3946200187562
2023-03-21,364577,28.25176807642792
2023-03-22,382353,28.310867235251372
2023-03-23,414546,29.36967991489476
2023-03-24,455836,27.638155784098277
2023-03-25,521670,26.600237295608977
2023-03-26,402086,28.450140442592055
2023-03-27,364720,27.720066379689325
2023-03-28,363261,27.589573557304703
2023-03-29,388241,28.300351302413226
2023-03-30,421677,29.25055722745215
2023-03-31,449452,27.462346813453287
2023-04-01,526003,27.86003722412182
2023-04-02,426677,27.88812113144083
2023-04-03,360789,27.90107988325622
2023-04-04,383165,28.06018195816508
2023-04-05,406791,28.62358427300621
2023-04-06,397857,27.980422991175296
2023-04-07,441172,26.658203784465254
2023-04-08,464091,26.040702814749658
2023-04-09,402733,27.639645720614404
2023-04-10,330731,28.154879373266184
2023-04-11,352289,27.904294740965224
2023-04-12,382390,27.964194774968217
2023-04-13,415346,29.67653835597418
2023-04-14,476649,28.912084825522154
2023-04-15,494228,28.36274950023072
2023-04-16,405154,28.311798180445972
2023-04-17,359652,28.534914695317415
2023-04-18,381708,29.080045322603187
2023-04-19,399637,29.364563941779245
2023-04-20,421368,32.199326954113864
2023-04-21,450362,31.59300742513894
2023-04-22,506253,30.621456880255906
2023-04-23,420498,31.703392120772303
2023-04-24,356140,29.256881058011388
2023-04-25,379381,29.43088707658081
2023-04-26,404826,29.74988792716002
2023-04-27,430351,30.864564971385402
2023-04-28,516180,28.853446065328
2023-04-29,580764,27.884689615750606
2023-04-30,476568,29.201727518424867
2023-05-01,372427,29.84460694310646
2023-05-02,400657,29.216391277327386
2023-05-03,410896,29.866507096687513
2023-05-04,440778,30.80298773986018
2023-05-05,485719,29.32713062491071
2023-05-06,510945,28.523337756511296
2023-05-07,404517,31.009203519260005
2023-05-08,360367,29.335162237386026
2023-05-09,380773,29.42782290235886
2023-05-10,400845,30.954953460814792
2023-05-11,435273,32.030082431027644
2023-05-12,474692,30.990580376329874
2023-05-13,502853,29.022833730733375
2023-05-14,432304,30.647319178171404
2023-05-15,360231,30.107129786165274
2023-05-16,392176,31.189481890784812
2023-05-17,420366,32.73576785468201
2023-05-18,444422,33.4559921876069
2023-05-19,485989,30.73972305957799
2023-05-20,542068,30.59440164333868
2023-05-21,406077,31.560414921309246
2023-05-22,370541,30.02626689084434
2023-05-23,379839,30.293092178529037
2023-05-24,418793,30.979468735151826
2023-05-25,410495,30.920131913910353
2023-05-26,434891,28.868745225816337
2023-05-27,443008,27.283921328734984
2023-05-28,403131,27.854490649441438
2023-05-29,343910,28.82767113489048
2023-05-30,354692,29.29233512455971
2023-05-31,384395,29.348476358954393
2023-06-01,417099,30.629442674282206
2023-06-02,472943,29.46663908758625
2023-06-03,497703,28.299042481158494
2023-06-04,412805,30.09691900534242
2023-06-05,358829,29.8905420966542
2023-06-06,392407,30.315011837200544
2023-06-07,432153,30.940661432411286
2023-06-08,427724,29.961143050191875
2023-06-09,472192,29.07952542609827
2023-06-10,491742,28.786655766642287
2023-06-11,419951,30.505057447179205
2023-06-12,395826,29.396979960892924
2023-06-13,395484,30.155975007838606
2023-06-14,429691,30.174689742165096
2023-06-15,441778,31.460000113181444
2023-06-16,474559,30.535149918136458
2023-06-17,473656,28.33978676507966
2023-06-18,411430,29.010550105729916
2023-06-19,339317,28.652912320927197
2023-06-20,370872,29.889753823422165
2023-06-21,407456,29.903634012016703
2023-06-22,445004,30.319121693288963
