date,hour_of_day,avg(average_speed)
2023-04-15,17,11.356062373645228
2023-04-15,18,11.491568031985944
2023-04-15,19,12.042828359667814
2023-04-15,20,12.82164990976958
2023-04-15,21,13.065220816054314
2023-04-15,22,13.231333045397143
2023-04-15,23,13.932106475806803
2023-04-16,0,14.886634596579635
2023-04-16,1,15.348075180604946
2023-04-16,2,16.27689024207408
2023-04-16,3,17.66551627512185
2023-04-16,4,19.528669440850912
2023-04-16,5,20.425483011575178
2023-04-16,6,20.777821825662894
2023-04-16,7,20.177676420477702
2023-04-16,8,18.556961339403575
2023-04-16,9,16.9217086523375
2023-04-16,10,15.298771131644333
2023-04-16,11,14.341309456376765
2023-04-16,12,13.655760977526603
2023-04-16,13,12.979775463712834
2023-04-16,14,12.447729398207029
2023-04-16,15,12.475331635191175
2023-04-16,16,12.553001145422819
2023-04-16,17,13.014857538172885
2023-04-16,18,13.45695642632161
2023-04-16,19,14.220392281726127
2023-04-16,20,14.280501165738482
2023-04-16,21,15.074329355642549
2023-04-16,22,15.81967403468927
2023-04-16,23,16.833029472870006
2023-04-17,0,17.83828215371204
2023-04-17,1,18.0719933513758
2023-04-17,2,18.440863506005673
2023-04-17,3,20.446822284728256
2023-04-17,4,23.631857999886346
2023-04-17,5,20.613864841671866
2023-04-17,6,16.226227100149845
2023-04-17,7,12.30941949117587
2023-04-17,8,11.156610510195195
2023-04-17,9,12.133082017338356
2023-04-17,10,12.807446728258054
2023-04-17,11,12.815525482388239
2023-04-17,12,12.623846261694107
2023-04-17,13,12.432533210747666
2023-04-17,14,11.740664218599894
2023-04-17,15,11.28430768992215
2023-04-17,16,11.193514140281488
2023-04-17,17,11.468108251595405
2023-04-17,18,12.795261013106575
2023-04-17,19,14.353477207118797
2023-04-17,20,14.962770440694104
2023-04-17,21,15.3858140849869
2023-04-17,22,15.880853106062094
2023-04-17,23,16.582825427342726
2023-04-18,0,17.35026916437706
2023-04-18,1,17.683501309083454
2023-04-18,2,18.16618519959423
2023-04-18,3,20.182764466586782
2023-04-18,4,22.62237840791516
2023-04-18,5,20.340585142804102
2023-04-18,6,15.746303672178104
2023-04-18,7,12.054410205181227
2023-04-18,8,11.157770293282256
2023-04-18,9,11.60721589728289
2023-04-18,10,11.784203554433907
2023-04-18,11,11.741045702902625
2023-04-18,12,11.784261038348012
2023-04-18,13,11.860725223675699
2023-04-18,14,10.912643280245147
2023-04-18,15,10.178965571556526
2023-04-18,16,9.791486734403145
2023-04-18,17,9.809820231406462
2023-04-18,18,10.81643749483084
