date,count(date),average_profit
2023-06-23,491766,10.582919172939995
2023-06-24,500949,10.144869318034052
2023-06-25,428681,10.78512171054907
2023-06-26,391167,10.644307137360878
2023-06-27,395952,11.26283685901296
2023-06-28,386734,12.273646718416071
2023-06-29,393304,11.958419924536962
2023-06-30,433365,10.647027724896962
2023-07-01,433336,9.850582942566401
2023-07-02,378472,9.471222890993218
2023-07-03,334057,9.23725986882511
2023-07-04,322346,9.907092875358197
2023-07-05,358738,10.11838115839414
2023-07-06,371844,10.282097842106047
2023-07-07,419904,10.114744822626037
2023-07-08,455998,9.812949135741908
2023-07-09,403218,9.877059357469122
2023-07-10,347427,10.644375969628289
2023-07-11,372773,10.99097566079094
2023-07-12,402559,11.00983018638263
2023-07-13,426665,10.94723499701166
2023-07-14,463949,10.239546631203012
2023-07-15,501637,9.795438075740114
2023-07-16,412463,9.685322950180016
2023-07-17,373094,10.541061180292598
2023-07-18,392696,10.771532865116955
2023-07-19,404829,11.235948536296199
2023-07-20,421275,11.166479116965862
2023-07-21,467330,10.102143688613554
2023-07-22,481809,9.670348478338864
2023-07-23,412569,10.103428178074294
2023-07-24,355626,10.729477259817351
2023-07-25,388783,11.031173971083804
2023-07-26,396103,11.390649704747911
2023-07-27,434891,11.172567539911658
2023-07-28,472970,10.308979893015595
2023-07-29,496023,9.65554913784165
2023-07-30,412108,10.344822473720399
2023-07-31,353541,10.768777822090856
2023-08-01,364772,10.961379053216593
2023-08-02,377422,11.244939404697547
2023-08-03,394343,11.16261660534068
2023-08-04,420559,10.2831300958956
2023-08-05,450682,9.567577160836063
2023-08-06,393369,10.101852154084346
2023-08-07,353381,10.708783635792399
2023-08-08,350981,11.0549539433757
2023-08-09,372641,11.11858955402102
2023-08-10,422656,11.099934036189687
2023-08-11,428366,10.228876638201397
2023-08-12,449289,9.551219905227804
2023-08-13,382860,10.420065951000332
2023-08-14,339467,10.610922740648876
2023-08-15,350986,10.7957810283029
2023-08-16,375451,10.884606912752341
2023-08-17,393144,10.8604284689574
2023-08-18,430832,9.986308607530985
2023-08-19,445431,9.4210805714016
2023-08-20,388352,9.928104374382174
2023-08-21,338710,10.358111806560231
2023-08-22,341428,10.57505148962607
2023-08-23,356247,10.621973883288984
2023-08-24,388638,10.702792032688416
2023-08-25,432061,10.044013785090382
2023-08-26,465582,9.040402614361883
2023-08-27,401599,9.606104173566173
2023-08-28,334576,10.349385670221341
2023-08-29,352918,10.705846542256074
2023-08-30,379266,10.740455458701549
2023-08-31,386150,10.822831412663211
